timestamp,gpu_index,temperature_C,utilization_gpu_percent,power_W
2025-09-24T03:42:01.957Z,6, 25, 1, 112.74
2025-09-24T03:42:01.957Z,7, 24, 0, 116.86
2025-09-24T03:42:02.221Z,0, 25, 0, 119.71
2025-09-24T03:42:02.221Z,1, 44, 0, 130.44
2025-09-24T03:42:02.221Z,2, 25, 0, 125.41
2025-09-24T03:42:02.221Z,3, 24, 0, 116.17
2025-09-24T03:42:02.221Z,4, 26, 0, 117.73
2025-09-24T03:42:02.221Z,5, 23, 0, 119.51
2025-09-24T03:42:02.221Z,6, 25, 0, 120.40
2025-09-24T03:42:02.221Z,7, 24, 0, 116.89
2025-09-24T03:42:02.469Z,0, 25, 0, 119.67
2025-09-24T03:42:02.469Z,1, 45, 0, 136.08
2025-09-24T03:42:02.469Z,2, 25, 0, 125.58
2025-09-24T03:42:02.469Z,3, 24, 0, 116.18
2025-09-24T03:42:02.469Z,4, 26, 0, 117.72
2025-09-24T03:42:02.469Z,5, 23, 0, 118.48
2025-09-24T03:42:02.469Z,6, 25, 0, 119.42
2025-09-24T03:42:02.469Z,7, 24, 0, 116.89
2025-09-24T03:42:02.725Z,0, 25, 0, 119.69
2025-09-24T03:42:02.725Z,1, 45, 0, 136.29
2025-09-24T03:42:02.725Z,2, 25, 0, 125.78
2025-09-24T03:42:02.725Z,3, 24, 0, 116.15
2025-09-24T03:42:02.725Z,4, 26, 0, 117.74
2025-09-24T03:42:02.725Z,5, 23, 0, 117.51
2025-09-24T03:42:02.725Z,6, 25, 0, 118.31
2025-09-24T03:42:02.725Z,7, 24, 4, 117.01
2025-09-24T03:42:02.979Z,0, 25, 0, 119.76
2025-09-24T03:42:02.979Z,1, 45, 0, 136.50
2025-09-24T03:42:02.979Z,2, 25, 0, 125.91
2025-09-24T03:42:02.979Z,3, 24, 0, 116.13
2025-09-24T03:42:02.979Z,4, 26, 0, 117.79
2025-09-24T03:42:02.979Z,5, 23, 0, 117.27
2025-09-24T03:42:02.979Z,6, 25, 0, 118.23
