step,layer_name,layer_type,shape,max_rank,threshold_rank_tau_0.01,entropy_rank_tau_0.01,stable_rank_tau_0.01,threshold_rank_tau_0.05,entropy_rank_tau_0.05,stable_rank_tau_0.05,threshold_rank_tau_0.1,entropy_rank_tau_0.1,stable_rank_tau_0.1,threshold_rank_tau_0.2,entropy_rank_tau_0.2,stable_rank_tau_0.2,threshold_rank_tau_0.5,entropy_rank_tau_0.5,stable_rank_tau_0.5
125,transformer.h.3.attn.c_proj.weight,attention_proj,(384x384),384,28,3.65,1.66,11,3.65,1.66,6,3.65,1.66,5,3.65,1.66,2,3.65,1.66
125,transformer.h.3.mlp.c_fc.weight,mlp,(1536x384),384,18,2.04,1.21,7,2.04,1.21,5,2.04,1.21,3,2.04,1.21,1,2.04,1.21
125,transformer.h.3.mlp.c_proj.weight,mlp,(384x1536),384,29,3.47,1.47,12,3.47,1.47,8,3.47,1.47,4,3.47,1.47,1,3.47,1.47
125,transformer.h.4.attn.c_attn.weight,attention,(1152x384),384,29,4.02,2.19,8,4.02,2.19,7,4.02,2.19,5,4.02,2.19,3,4.02,2.19
125,transformer.h.4.attn.c_proj.weight,attention_proj,(384x384),384,28,2.19,1.22,9,2.19,1.22,5,2.19,1.22,3,2.19,1.22,1,2.19,1.22
125,transformer.h.4.mlp.c_fc.weight,mlp,(1536x384),384,15,1.74,1.15,5,1.74,1.15,4,1.74,1.15,2,1.74,1.15,1,1.74,1.15
125,transformer.h.4.mlp.c_proj.weight,mlp,(384x1536),384,24,2.53,1.27,10,2.53,1.27,8,2.53,1.27,4,2.53,1.27,1,2.53,1.27
125,transformer.h.5.attn.c_attn.weight,attention,(1152x384),384,26,3.54,1.93,8,3.54,1.93,6,3.54,1.93,4,3.54,1.93,3,3.54,1.93
125,transformer.h.5.attn.c_proj.weight,attention_proj,(384x384),384,37,2.56,1.35,11,2.56,1.35,5,2.56,1.35,2,2.56,1.35,1,2.56,1.35
125,transformer.h.5.mlp.c_fc.weight,mlp,(1536x384),384,12,1.65,1.13,5,1.65,1.13,4,1.65,1.13,2,1.65,1.13,1,1.65,1.13
125,transformer.h.5.mlp.c_proj.weight,mlp,(384x1536),384,22,2.18,1.20,9,2.18,1.20,6,2.18,1.20,2,2.18,1.20,1,2.18,1.20
150,transformer.wte.weight,unknown,(50304x384),384,100,7.41,2.36,21,7.41,2.36,14,7.41,2.36,8,7.41,2.36,2,7.41,2.36
150,transformer.wpe.weight,unknown,(256x384),256,100,8.63,3.00,45,8.63,3.00,13,8.63,3.00,6,8.63,3.00,4,8.63,3.00
