MPID;WikiDataLink;WikipediaLink;Name;LastName;Born;SexOrGender;Occupation;Religion;AbgeordnetenwatchID
1699;http://www.wikidata.org/entity/Q1408042;https://de.wikipedia.org/wiki/Franz_Krug_(Politiker);Franz Krug;Krug;26.03.1935 00:00;männlich;['Politiker', 'Richter'];;
1700;http://www.wikidata.org/entity/Q1447004;https://de.wikipedia.org/wiki/Franz_Gruber_(Politiker,_1935);Franz Gruber;Gruber;20.05.1935 00:00;männlich;['Politiker'];;
1701;http://www.wikidata.org/entity/Q1560459;https://de.wikipedia.org/wiki/G%C3%BCnter_Fichtner;Günter Fichtner;Fichtner;21.06.1935 00:00;männlich;['Politiker'];;
1703;http://www.wikidata.org/entity/Q1581138;https://de.wikipedia.org/wiki/Hans_Lukas;Hans Lukas;Lukas;26.08.1935 00:00;männlich;['Politiker'];;
1704;http://www.wikidata.org/entity/Q1632503;https://de.wikipedia.org/wiki/Rudolf_Kluger;Rudolf Kluger;Kluger;15.09.1935 00:00;männlich;['Politiker'];;
1705;http://www.wikidata.org/entity/Q15455560;https://de.wikipedia.org/wiki/Wolfgang_List;Wolfgang List;List;19.09.1935 00:00;männlich;['Jurist', 'Politiker', 'Rechtsanwalt'];;
1706;http://www.wikidata.org/entity/Q1604404;https://de.wikipedia.org/wiki/Helmuth_Coqui;Helmuth Coqui;Coqui;16.10.1935 00:00;männlich;['Politiker'];;
1707;http://www.wikidata.org/entity/Q361279;https://de.wikipedia.org/wiki/Adolf_Dinglreiter;Adolf Dinglreiter;;27.10.1935 00:00;männlich;['Politiker'];;
1708;http://www.wikidata.org/entity/Q1412634;https://de.wikipedia.org/wiki/Hans-G%C3%BCnter_Naumann;Hans-Günter Naumann;Naumann;28.10.1935 00:00;männlich;['Politiker'];;
1709;http://www.wikidata.org/entity/Q1267159;https://de.wikipedia.org/wiki/Max_von_Heckel_(Politiker);Max von Heckel;;16.11.1935 00:00;männlich;['Politiker'];;
1710;http://www.wikidata.org/entity/Q2063123;https://de.wikipedia.org/wiki/Paul_Wilhelm_(Politiker);Paul Wilhelm;Wilhelm;25.11.1935 00:00;männlich;['Jurist', 'Politiker'];;
1711;http://www.wikidata.org/entity/Q565407;https://de.wikipedia.org/wiki/Anne_Hirschmann;Anne Hirschmann;Hirschmann;27.11.1935 00:00;weiblich;['Politiker'];;
1712;http://www.wikidata.org/entity/Q1247840;https://de.wikipedia.org/wiki/Peter_Schnell_(Politiker);Peter Schnell;Schnell;09.12.1935 00:00;männlich;['Politiker', 'Richter'];;
1713;http://www.wikidata.org/entity/Q98738;https://de.wikipedia.org/wiki/Josef_Deimer;Josef Deimer;;01.01.1936 00:00;männlich;['Politiker'];;
1714;http://www.wikidata.org/entity/Q1604478;https://de.wikipedia.org/wiki/Karl-Heinz_M%C3%BCller_(Politiker,_1936);Karl-Heinz Müller;Müller;11.02.1936 00:00;männlich;['Politiker'];;
1715;http://www.wikidata.org/entity/Q1508440;https://de.wikipedia.org/wiki/Heinrich_Schmidhuber;Heinrich Schmidhuber;Schmidhuber;21.02.1936 00:00;männlich;['Politiker'];;
1716;http://www.wikidata.org/entity/Q1331044;https://de.wikipedia.org/wiki/Walter_Schlosser_(Politiker,_1936);Walter Schlosser;Schlosser;27.02.1936 00:00;männlich;['Politiker'];;
