_runtime,Sample Generation,_timestamp,train/step_loss,_step,val/loss,lr,iter,train/loss,seed
217.153188,,1779640236.8319,1.2638802528381348,146,,,1400.0,,3740
218.1574291,,1779640237.8358793,1.2445684671401978,147,,,1410.0,,3740
219.1196168,,1779640238.7986326,1.2298742532730103,148,,,1420.0,,3740
220.1348944,,1779640239.8139102,1.2307379245758057,149,,,1430.0,,3740
221.1533995,,1779640240.8317726,1.2472972869873047,150,,,1440.0,,3740
222.191646,,1779640241.8706627,1.2266740798950195,151,,,1450.0,,3740
223.206173,,1779640242.8851283,1.2330667972564697,152,,,1460.0,,3740
224.2274906,,1779640243.9065077,1.256696105003357,153,,,1470.0,,3740
225.3085304,,1779640244.9875445,1.2347077131271362,154,,,1480.0,,3740
226.3761875,,1779640246.0550277,1.23911714553833,155,,,1490.0,,3740
240.3123765,,1779640259.991409,,156,1.4787484407424927,0.0008305704108364302,1500.0,1.1636914014816284,3740
240.4152727,,1779640260.0941489,1.225513219833374,157,,,1500.0,,3740
241.410732,,1779640261.090253,1.2395837306976318,158,,,1510.0,,3740
242.4313027,,1779640262.110273,1.2305952310562134,159,,,1520.0,,3740
243.466213,,1779640263.1452293,1.2164348363876343,160,,,1530.0,,3740
244.4553052,,1779640264.1343212,1.2219644784927368,161,,,1540.0,,3740
245.4480831,,1779640265.1270916,1.2276592254638672,162,,,1550.0,,3740
246.4454778,,1779640266.1244953,1.223586916923523,163,,,1560.0,,3740
247.489123,,1779640267.1678402,1.2114002704620361,164,,,1570.0,,3740
248.5399188,,1779640268.218178,1.219192385673523,165,,,1580.0,,3740
249.6136871,,1779640269.2926452,1.2327275276184082,166,,,1590.0,,3740
250.6275918,,1779640270.3066072,1.233167290687561,167,,,1600.0,,3740
251.6143833,,1779640271.293352,1.1949448585510254,168,,,1610.0,,3740
252.6049624,,1779640272.283981,1.198947787284851,169,,,1620.0,,3740
253.6035359,,1779640273.2825525,1.2342422008514404,170,,,1630.0,,3740
254.6035101,,1779640274.282482,1.208106279373169,171,,,1640.0,,3740
255.6071261,,1779640275.286143,1.2013957500457764,172,,,1650.0,,3740
256.6015791,,1779640276.280356,1.1997852325439453,173,,,1660.0,,3740
257.6145013,,1779640277.2935166,1.2005722522735596,174,,,1670.0,,3740
