_runtime,train/step_loss,lr,_timestamp,iter,_step,val/loss,train/loss,Sample Generation,seed
373.6099662,1.2483093738555908,,1779708417.2600622,1380.0,144,,,,6242
375.26801,1.1962746381759644,,1779708418.918815,1390.0,145,,,,6242
376.9252927,1.2064292430877686,,1779708420.5761614,1400.0,146,,,,6242
378.5849292,1.2023506164550781,,1779708422.235722,1410.0,147,,,,6242
380.2406962,1.1887980699539185,,1779708423.8915617,1420.0,148,,,,6242
381.9063946,1.1905585527420044,,1779708425.5572648,1430.0,149,,,,6242
383.5615255,1.1855518817901611,,1779708427.2113192,1440.0,150,,,,6242
385.2158087,1.186201810836792,,1779708428.8666778,1450.0,151,,,,6242
386.8953047,1.2057955265045166,,1779708430.5466802,1460.0,152,,,,6242
388.6073288,1.1813597679138184,,1779708432.2571926,1470.0,153,,,,6242
390.2658848,1.1879475116729736,,1779708433.9167306,1480.0,154,,,,6242
391.9502692,1.1949081420898438,,1779708435.600926,1490.0,155,,,,6242
416.9897445,,0.0008305704108364302,1779708460.6401687,1500.0,156,1.5108871459960938,1.0914690494537354,,6242
417.1634732,1.1815199851989746,,1779708460.8140116,1500.0,157,,,,6242
418.8514156,1.1649905443191528,,1779708462.5020287,1510.0,158,,,,6242
420.5337917,1.176111102104187,,1779708464.1846602,1520.0,159,,,,6242
422.2201586,1.1664698123931885,,1779708465.8704073,1530.0,160,,,,6242
423.919489,1.2149314880371094,,1779708467.5698125,1540.0,161,,,,6242
425.6049571,1.206520676612854,,1779708469.2553275,1550.0,162,,,,6242
427.2924001,1.184523344039917,,1779708470.9430182,1560.0,163,,,,6242
428.9736625,1.1700773239135742,,1779708472.6244676,1570.0,164,,,,6242
430.7345677,1.159673810005188,,1779708474.3853037,1580.0,165,,,,6242
432.4035197,1.1386537551879883,,1779708476.0538337,1590.0,166,,,,6242
434.052204,1.160996913909912,,1779708477.7030737,1600.0,167,,,,6242
435.7048114,1.1367440223693848,,1779708479.3556774,1610.0,168,,,,6242
437.3627295,1.1382509469985962,,1779708481.0135424,1620.0,169,,,,6242
439.0163035,1.175524353981018,,1779708482.6671746,1630.0,170,,,,6242
440.6666136,1.1694968938827515,,1779708484.3172262,1640.0,171,,,,6242
442.3202069,1.1823383569717407,,1779708485.9710767,1650.0,172,,,,6242
443.9692847,1.1683772802352905,,1779708487.6201549,1660.0,173,,,,6242
445.6205313,1.173287272453308,,1779708489.2712567,1670.0,174,,,,6242
447.2679882,1.142084002494812,,1779708490.9185476,1680.0,175,,,,6242
448.9315197,1.183964490890503,,1779708492.5823882,1690.0,176,,,,6242
450.6088452,1.127259373664856,,1779708494.2597136,1700.0,177,,,,6242
452.2571073,1.1487410068511963,,1779708495.907979,1710.0,178,,,,6242
454.0419346,1.1443238258361816,,1779708497.6925235,1720.0,179,,,,6242
455.6864007,1.1381477117538452,,1779708499.3372712,1730.0,180,,,,6242
457.3607278,1.1480529308319092,,1779708501.011596,1740.0,181,,,,6242
482.5171242,,0.0007708228984017721,1779708526.1680388,1750.0,182,1.4993609189987183,1.0372397899627686,,6242
482.6823593,1.143462061882019,,1779708526.3332276,1750.0,183,,,,6242
484.3467667,1.1485142707824707,,1779708527.9975595,1760.0,184,,,,6242
485.9913592,1.140521764755249,,1779708529.641397,1770.0,185,,,,6242
487.6310425,1.0875524282455444,,1779708531.2818303,1780.0,186,,,,6242
489.3216573,1.1418510675430298,,1779708532.9725268,1790.0,187,,,,6242
490.9641147,1.147598385810852,,1779708534.614979,1800.0,188,,,,6242
492.6091382,1.148261308670044,,1779708536.260006,1810.0,189,,,,6242
494.3107921,1.1006077527999878,,1779708537.9606462,1820.0,190,,,,6242
496.0145996,1.134480595588684,,1779708539.664733,1830.0,191,,,,6242
497.7026895,1.160904049873352,,1779708541.3534765,1840.0,192,,,,6242
499.3945971,1.1380829811096191,,1779708543.0449748,1850.0,193,,,,6242
501.088529,1.1135995388031006,,1779708544.7389944,1860.0,194,,,,6242
502.7872524,1.1323835849761963,,1779708546.4381173,1870.0,195,,,,6242
504.4908372,1.1149605512619019,,1779708548.1417067,1880.0,196,,,,6242
506.1904199,1.1050522327423096,,1779708549.8412893,1890.0,197,,,,6242
507.9152598,1.0949194431304932,,1779708551.5658844,1900.0,198,,,,6242
509.637297,1.127301812171936,,1779708553.2874966,1910.0,199,,,,6242
511.3689752,1.0775244235992432,,1779708555.0194755,1920.0,200,,,,6242
513.076704,1.1448622941970825,,1779708556.7274194,1930.0,201,,,,6242
514.7198434,1.1044849157333374,,1779708558.3705888,1940.0,202,,,,6242
516.3646059,1.1255028247833252,,1779708560.0149763,1950.0,203,,,,6242
518.0105289,1.0930293798446655,,1779708561.6613486,1960.0,204,,,,6242
519.6567404,1.1089380979537964,,1779708563.307317,1970.0,205,,,,6242
521.3026588,1.0698949098587036,,1779708564.9535284,1980.0,206,,,,6242
522.9473937,1.075873851776123,,1779708566.5987692,1990.0,207,,,,6242
547.9637736,,0.0007054142744895884,1779708591.614149,2000.0,208,1.526198148727417,0.9899988770484924,,6242
548.1336798,1.0998772382736206,,1779708591.7837431,2000.0,209,,,,6242
549.828861,1.081272840499878,,1779708593.4797301,2010.0,210,,,,6242
551.5143574,1.0990279912948608,,1779708595.1651058,2020.0,211,,,,6242
553.1937778,1.087429165840149,,1779708596.8446467,2030.0,212,,,,6242
554.8835449,1.0726405382156372,,1779708598.5349205,2040.0,213,,,,6242
556.5717513,1.1020641326904297,,1779708600.22262,2050.0,214,,,,6242
558.2661792,1.0641076564788818,,1779708601.916981,2060.0,215,,,,6242
559.9652035,1.0931283235549927,,1779708603.6160727,2070.0,216,,,,6242
561.6693252,1.094153642654419,,1779708605.3201919,2080.0,217,,,,6242
563.379713,1.056825876235962,,1779708607.029643,2090.0,218,,,,6242
565.087367,1.1150580644607544,,1779708608.738232,2100.0,219,,,,6242
566.755594,1.083577036857605,,1779708610.4062674,2110.0,220,,,,6242
568.4174852,1.0875465869903564,,1779708612.067444,2120.0,221,,,,6242
570.0824755,1.070617914199829,,1779708613.7333438,2130.0,222,,,,6242
571.763275,1.0631680488586426,,1779708615.4134169,2140.0,223,,,,6242
573.4106395,1.087986946105957,,1779708617.0610182,2150.0,224,,,,6242
575.0903163,1.0775110721588135,,1779708618.7410612,2160.0,225,,,,6242
576.7324533,1.0787783861160278,,1779708620.3832464,2170.0,226,,,,6242
578.3723381,1.0795214176177979,,1779708622.023206,2180.0,227,,,,6242
580.0401299,1.04353666305542,,1779708623.6902077,2190.0,228,,,,6242
581.6767266,1.080338716506958,,1779708625.3266926,2200.0,229,,,,6242
583.313628,1.0631194114685059,,1779708626.9637358,2210.0,230,,,,6242
584.9511789,1.0460643768310547,,1779708628.602048,2220.0,231,,,,6242
586.5911159,1.053998351097107,,1779708630.2419846,2230.0,232,,,,6242
588.2272925,1.0704984664916992,,1779708631.8780336,2240.0,233,,,,6242
613.2055366,,0.0006360213829156177,1779708656.8559103,2250.0,234,1.5266762971878052,0.9350705146789551,,6242
613.3839762,1.0583416223526,,1779708657.0346582,2250.0,235,,,,6242
615.0780674,1.1022175550460815,,1779708658.727989,2260.0,236,,,,6242
616.7605491,1.0588579177856445,,1779708660.411091,2270.0,237,,,,6242
618.4552715,1.0472697019577026,,1779708662.1057754,2280.0,238,,,,6242
620.1385208,1.0488083362579346,,1779708663.7887871,2290.0,239,,,,6242
621.8200582,1.0025982856750488,,1779708665.4709268,2300.0,240,,,,6242
623.5058072,1.0155909061431885,,1779708667.1566763,2310.0,241,,,,6242
625.1912778,1.032253623008728,,1779708668.8421109,2320.0,242,,,,6242
626.8712235,1.05351984500885,,1779708670.5212817,2330.0,243,,,,6242
628.5539586,1.0339205265045166,,1779708672.2044234,2340.0,244,,,,6242
630.2231404,1.0419120788574219,,1779708673.874009,2350.0,245,,,,6242
631.9252148,1.05455482006073,,1779708675.5756676,2360.0,246,,,,6242
633.6385302,1.0055757761001587,,1779708677.2889054,2370.0,247,,,,6242
635.3346837,1.0579462051391602,,1779708678.985555,2380.0,248,,,,6242
637.0519149,1.0779757499694824,,1779708680.7027304,2390.0,249,,,,6242
638.7543247,1.0460221767425537,,1779708682.405192,2400.0,250,,,,6242
640.4525849,1.0392515659332275,,1779708684.1034532,2410.0,251,,,,6242
642.1724081,1.0400739908218384,,1779708685.8232765,2420.0,252,,,,6242
643.9356788,1.0079240798950195,,1779708687.5865493,2430.0,253,,,,6242
645.6815266,1.0223186016082764,,1779708689.3320568,2440.0,254,,,,6242
647.3948001,1.050999641418457,,1779708691.0449288,2450.0,255,,,,6242
649.1460132,1.0234171152114868,,1779708692.7968826,2460.0,256,,,,6242
650.8639728,1.0286093950271606,,1779708694.5148387,2470.0,257,,,,6242
652.608664,1.0367333889007568,,1779708696.2593355,2480.0,258,,,,6242
654.3384712,1.0396782159805298,,1779708697.9893382,2490.0,259,,,,6242
680.5747873,,0.000564423209907245,1779708724.2255747,2500.0,260,1.5490317344665527,0.8876959085464478,,6242
680.7489363,1.0173444747924805,,1779708724.3998058,2500.0,261,,,,6242
682.4185836,1.0247048139572144,,1779708726.0685465,2510.0,262,,,,6242
684.0769146,1.0046281814575195,,1779708727.7277837,2520.0,263,,,,6242
685.8202204,1.040887713432312,,1779708729.4709282,2530.0,264,,,,6242
687.5505064,1.010213017463684,,1779708731.200902,2540.0,265,,,,6242
689.3175872,0.9916501641273499,,1779708732.9669929,2550.0,266,,,,6242
691.1231408,1.0021846294403076,,1779708734.773712,2560.0,267,,,,6242
692.9499205,0.9939185380935669,,1779708736.6007903,2570.0,268,,,,6242
694.7299148,1.0121930837631226,,1779708738.3807857,2580.0,269,,,,6242
696.5121031,1.0417125225067139,,1779708740.162972,2590.0,270,,,,6242
698.259894,1.0256489515304565,,1779708741.9107647,2600.0,271,,,,6242
699.9310689,0.9844598770141602,,1779708743.5814168,2610.0,272,,,,6242
701.6068081,0.9880249500274658,,1779708745.2576773,2620.0,273,,,,6242
703.2692227,1.0044739246368408,,1779708746.919093,2630.0,274,,,,6242
704.9444646,0.9955483675003052,,1779708748.5953343,2640.0,275,,,,6242
706.6432428,1.004284143447876,,1779708750.2936556,2650.0,276,,,,6242
708.3441535,0.9950283765792847,,1779708751.99493,2660.0,277,,,,6242
710.1176603,0.9891830682754517,,1779708753.7683868,2670.0,278,,,,6242
711.9233436,1.0036001205444336,,1779708755.57363,2680.0,279,,,,6242
713.6893468,0.9605416655540466,,1779708757.3402166,2690.0,280,,,,6242
715.4369393,0.9930078983306885,,1779708759.0876107,2700.0,281,,,,6242
717.2076354,0.9932795763015747,,1779708760.8585064,2710.0,282,,,,6242
718.9938399,0.9831318855285645,,1779708762.6447117,2720.0,283,,,,6242
720.7697777,1.010284185409546,,1779708764.4206462,2730.0,284,,,,6242
722.5683614,0.9833795428276062,,1779708766.2187514,2740.0,285,,,,6242
748.9265335,,0.0004924552772419723,1779708792.577909,2750.0,286,1.590978980064392,0.831587016582489,,6242
749.1151621,0.9552197456359863,,1779708792.7665377,2750.0,287,,,,6242
750.8754667,0.998677670955658,,1779708794.526335,2760.0,288,,,,6242
752.6911825,0.9848867654800415,,1779708796.3414786,2770.0,289,,,,6242
