lr,_runtime,_timestamp,train/loss,train/step_loss,iter,Sample Generation,_step,val/loss,seed
,515.7661668,1779629713.0077138,,1.096079707145691,1710.0,,178,,3242
,517.7952258,1779629715.0362043,,1.074811339378357,1720.0,,179,,3242
,519.8199734,1779629717.0608554,,1.1115984916687012,1730.0,,180,,3242
,521.8425925,1779629719.083984,,1.0969369411468506,1740.0,,181,,3242
0.0007708228984017721,548.3193606,1779629745.560004,0.9731180667877197,,1750.0,,182,1.5043836832046509,3242
,548.5306301,1779629745.7716324,,1.10157310962677,1750.0,,183,,3242
,550.5568215,1779629747.7981038,,1.0730773210525513,1760.0,,184,,3242
,552.5888541,1779629749.829732,,1.0687068700790405,1770.0,,185,,3242
,554.6205596,1779629751.8613813,,1.0684349536895752,1780.0,,186,,3242
,556.6564804,1779629753.8980284,,1.0727691650390625,1790.0,,187,,3242
,558.7317915,1779629755.972975,,1.0680865049362183,1800.0,,188,,3242
,560.8001589,1779629758.0410538,,1.0552130937576294,1810.0,,189,,3242
,562.7579235,1779629759.9994724,,1.0615144968032837,1820.0,,190,,3242
,564.7607463,1779629762.001285,,1.0881121158599854,1830.0,,191,,3242
,566.7590559,1779629764.0006063,,1.0719757080078125,1840.0,,192,,3242
,568.7090076,1779629765.9505556,,1.0690338611602783,1850.0,,193,,3242
,570.6417989,1779629767.8833485,,1.0495685338974,1860.0,,194,,3242
,572.6214007,1779629769.8628755,,1.0445401668548584,1870.0,,195,,3242
,574.6233812,1779629771.8649302,,1.0627777576446533,1880.0,,196,,3242
,576.5783315,1779629773.819873,,1.0457680225372314,1890.0,,197,,3242
,578.5630489,1779629775.804545,,1.070909857749939,1900.0,,198,,3242
,580.5186457,1779629777.7598135,,1.050933599472046,1910.0,,199,,3242
,582.4651408,1779629779.706545,,1.0258662700653076,1920.0,,200,,3242
,584.4430267,1779629781.6835587,,1.0314198732376099,1930.0,,201,,3242
,586.3760616,1779629783.6176088,,1.0215306282043457,1940.0,,202,,3242
,588.3370308,1779629785.5784645,,1.031615138053894,1950.0,,203,,3242
,590.2722236,1779629787.5137725,,1.032530665397644,1960.0,,204,,3242
,592.2088342,1779629789.450357,,1.0396181344985962,1970.0,,205,,3242
,594.1629047,1779629791.404373,,1.0319266319274902,1980.0,,206,,3242
,596.0940352,1779629793.3345845,,1.0446093082427979,1990.0,,207,,3242
0.0007054142744895884,622.7039455,1779629819.9452622,0.901258111000061,,2000.0,,208,1.5259506702423096,3242
,622.9173014,1779629820.1582565,,1.0012789964675903,2000.0,,209,,3242
,624.9808761,1779629822.2223,,1.0323951244354248,2010.0,,210,,3242
,627.0549125,1779629824.296461,,1.0235049724578857,2020.0,,211,,3242
,629.1340195,1779629826.375569,,1.031259298324585,2030.0,,212,,3242
,631.2171872,1779629828.4586263,,1.0123265981674194,2040.0,,213,,3242
,633.2999418,1779629830.541386,,1.0258091688156128,2050.0,,214,,3242
,635.3619829,1779629832.6028411,,1.0198297500610352,2060.0,,215,,3242
,637.4255339,1779629834.6675897,,1.009236216545105,2070.0,,216,,3242
,639.4880093,1779629836.7293558,,0.9975616335868835,2080.0,,217,,3242
,641.5692156,1779629838.8105514,,0.9925844669342041,2090.0,,218,,3242
,643.6338127,1779629840.8748887,,1.002510905265808,2100.0,,219,,3242
,645.7056628,1779629842.9472125,,0.9955067038536072,2110.0,,220,,3242
,647.7648111,1779629845.00636,,1.0162041187286377,2120.0,,221,,3242
,649.83747,1779629847.078525,,0.9867943525314331,2130.0,,222,,3242
,651.9340488,1779629849.174808,,0.9922929406166077,2140.0,,223,,3242
,653.9962957,1779629851.2378447,,0.9907662272453308,2150.0,,224,,3242
,656.0642794,1779629853.3058257,,0.9942893385887146,2160.0,,225,,3242
,658.133628,1779629855.3748088,,0.9757540225982666,2170.0,,226,,3242
